date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:58:06	27723/27723	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2022:57:23%20GMT	https://www.braflix.video/tv/61889	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/tv/61889.html	(from https://www.braflix.video/)
17:58:06	28104/28104	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2022:57:24%20GMT	https://www.braflix.video/tv/43901	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/tv/43901.html	(from https://www.braflix.video/)
17:58:06	29487/29487	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2022:57:24%20GMT	https://www.braflix.video/tv/61886	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/tv/61886.html	(from https://www.braflix.video/)
17:58:06	27343/27343	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2022:57:24%20GMT	https://www.braflix.video/tv/108545	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/tv/108545.html	(from https://www.braflix.video/)
17:58:06	22220/22220	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2022:57:24%20GMT	https://www.braflix.video/movie/1219685	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/movie/1219685.html	(from https://www.braflix.video/)
17:58:07	24723/24723	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2022:57:24%20GMT	https://www.braflix.video/movie/1094844	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/movie/1094844.html	(from https://www.braflix.video/)
17:58:07	27078/27078	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2022:57:25%20GMT	https://www.braflix.video/movie/843527	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/movie/843527.html	(from https://www.braflix.video/)
17:58:07	24464/24464	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2022:57:25%20GMT	https://www.braflix.video/movie/1011985	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/movie/1011985.html	(from https://www.braflix.video/)
17:58:07	24530/24530	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2022:57:25%20GMT	https://www.braflix.video/movie/920342	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/movie/920342.html	(from https://www.braflix.video/)
17:58:08	24429/24429	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2022:57:25%20GMT	https://www.braflix.video/movie/1096197	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/movie/1096197.html	(from https://www.braflix.video/)
17:58:08	23984/23984	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2022:57:26%20GMT	https://www.braflix.video/movie/934632	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/movie/934632.html	(from https://www.braflix.video/)
17:58:08	24172/24172	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2022:57:26%20GMT	https://www.braflix.video/movie/1057001	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/movie/1057001.html	(from https://www.braflix.video/)
17:58:08	25172/25172	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2022:57:26%20GMT	https://www.braflix.video/movie/748783	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/movie/748783.html	(from https://www.braflix.video/)
